theta_deg,ptx_sat_dbm,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_db,INI_db,CI_db,CNI_db
60,4,581.794,146.711,11.25,0.0345,-138.461,-138.496,-39.496,-39.496,73.466,33.970
60,1,581.794,146.711,11.25,0.0345,-141.461,-141.496,-42.496,-42.496,76.466,33.970
70,43,540.092,146.065,7.5,0.0318,-102.565,-102.597,-3.597,-5.171,37.567,32.396
70,40,540.092,146.065,7.5,0.0318,-105.565,-105.597,-6.597,-7.457,40.567,33.110
70,37,540.092,146.065,7.5,0.0318,-108.565,-108.597,-9.597,-10.049,43.567,33.518
70,34,540.092,146.065,7.5,0.0318,-111.565,-111.597,-12.597,-12.829,46.567,33.738
70,31,540.092,146.065,7.5,0.0318,-114.565,-114.597,-15.597,-15.715,49.567,33.852
70,28,540.092,146.065,7.5,0.0318,-117.565,-117.597,-18.597,-18.657,52.567,33.910
70,25,540.092,146.065,7.5,0.0318,-120.565,-120.597,-21.597,-21.627,55.567,33.940
70,22,540.092,146.065,7.5,0.0318,-123.565,-123.597,-24.597,-24.612,58.567,33.955
70,19,540.092,146.065,7.5,0.0318,-126.565,-126.597,-27.597,-27.605,61.567,33.962
70,16,540.092,146.065,7.5,0.0318,-129.565,-129.597,-30.597,-30.601,64.567,33.966
70,13,540.092,146.065,7.5,0.0318,-132.565,-132.597,-33.597,-33.599,67.567,33.968
70,10,540.092,146.065,7.5,0.0318,-135.565,-135.597,-36.597,-36.598,70.567,33.969
70,7,540.092,146.065,7.5,0.0318,-138.565,-138.597,-39.597,-39.597,73.567,33.970
70,4,540.092,146.065,7.5,0.0318,-141.565,-141.597,-42.597,-42.597,76.567,33.970
70,1,540.092,146.065,7.5,0.0318,-144.565,-144.597,-45.597,-45.597,79.567,33.970
80,43,517.272,145.69,3.75,0.0304,-105.94,-105.971,-6.971,-7.766,40.941,33.175
80,40,517.272,145.69,3.75,0.0304,-108.94,-108.971,-9.971,-10.387,43.941,33.553
80,37,517.272,145.69,3.75,0.0304,-111.94,-111.971,-12.971,-13.184,46.941,33.756
80,34,517.272,145.69,3.75,0.0304,-114.94,-114.971,-15.971,-16.079,49.941,33.862
80,31,517.272,145.69,3.75,0.0304,-117.94,-117.971,-18.971,-19.025,52.941,33.915
80,28,517.272,145.69,3.75,0.0304,-120.94,-120.971,-21.971,-21.998,55.941,33.943
80,25,517.272,145.69,3.75,0.0304,-123.94,-123.971,-24.971,-24.984,58.941,33.956
80,22,517.272,145.69,3.75,0.0304,-126.94,-126.971,-27.971,-27.977,61.941,33.963
80,19,517.272,145.69,3.75,0.0304,-129.94,-129.971,-30.971,-30.974,64.941,33.967
80,16,517.272,145.69,3.75,0.0304,-132.94,-132.971,-33.971,-33.972,67.941,33.968
80,13,517.272,145.69,3.75,0.0304,-135.94,-135.971,-36.971,-36.971,70.941,33.969
80,10,517.272,145.69,3.75,0.0304,-138.94,-138.971,-39.971,-39.971,73.941,33.970
80,7,517.272,145.69,3.75,0.0304,-141.94,-141.971,-42.971,-42.971,76.941,33.970
80,4,517.272,145.69,3.75,0.0304,-144.94,-144.971,-45.971,-45.971,79.941,33.970
80,1,517.272,145.69,3.75,0.0304,-147.94,-147.971,-48.971,-48.971,82.941,33.970
90,43,510.0,145.567,0.0,0.0299,-109.567,-109.597,-10.597,-10.96,44.567,33.607
90,40,510.0,145.567,0.0,0.0299,-112.567,-112.597,-13.597,-13.783,47.567,33.784
90,37,510.0,145.567,0.0,0.0299,-115.567,-115.597,-16.597,-16.691,50.567,33.876
90,34,510.0,145.567,0.0,0.0299,-118.567,-118.597,-19.597,-19.644,53.567,33.923
90,31,510.0,145.567,0.0,0.0299,-121.567,-121.597,-22.597,-22.621,56.567,33.946
90,28,510.0,145.567,0.0,0.0299,-124.567,-124.597,-25.597,-25.609,59.567,33.958
90,25,510.0,145.567,0.0,0.0299,-127.567,-127.597,-28.597,-28.603,62.567,33.964
90,22,510.0,145.567,0.0,0.0299,-130.567,-130.597,-31.597,-31.6,65.567,33.967
90,19,510.0,145.567,0.0,0.0299,-133.567,-133.597,-34.597,-34.599,68.567,33.968
90,16,510.0,145.567,0.0,0.0299,-136.567,-136.597,-37.597,-37.598,71.567,33.969
90,13,510.0,145.567,0.0,0.0299,-139.567,-139.597,-40.597,-40.597,74.567,33.970
90,10,510.0,145.567,0.0,0.0299,-142.567,-142.597,-43.597,-43.597,77.567,33.970
90,7,510.0,145.567,0.0,0.0299,-145.567,-145.597,-46.597,-46.597,80.567,33.970
90,4,510.0,145.567,0.0,0.0299,-148.567,-148.597,-49.597,-49.597,83.567,33.970
90,1,510.0,145.567,0.0,0.0299,-151.567,-151.597,-52.597,-52.597,86.567,33.970
